,0
0,2.0
1,1.6666666666666667
2,1.5
3,1.2
4,1.1666666666666667
5,1.2857142857142858
6,1.125
7,1.0
8,1.0
9,1.0
10,1.1666666666666667
11,1.0
12,1.0714285714285714
13,1.2
14,1.25
15,1.3529411764705883
16,1.3888888888888888
17,1.4736842105263157
18,1.3
19,1.5238095238095237
20,1.4090909090909092
21,1.2608695652173914
22,1.3333333333333333
23,1.32
24,1.1923076923076923
25,1.3703703703703705
26,1.4285714285714286
27,1.2758620689655173
28,1.3666666666666667
29,1.4516129032258065
30,1.40625
31,1.606060606060606
32,1.411764705882353
33,1.2857142857142858
34,1.3888888888888888
35,1.3783783783783783
36,1.5263157894736843
37,1.358974358974359
38,1.325
39,1.3414634146341464
40,1.4285714285714286
41,1.4651162790697674
42,1.4545454545454546
43,1.488888888888889
44,1.4565217391304348
45,1.3617021276595744
46,1.5208333333333333
47,1.4081632653061225
48,1.3
49,1.4705882352941178
50,1.5384615384615385
51,1.3962264150943395
52,1.5555555555555556
53,1.490909090909091
54,1.4464285714285714
55,1.543859649122807
56,1.396551724137931
57,1.4067796610169492
58,1.4833333333333334
59,1.4918032786885247
60,1.403225806451613
61,1.4603174603174602
62,1.515625
63,1.4923076923076923
64,1.4545454545454546
65,1.5522388059701493
66,1.3823529411764706
67,1.4782608695652173
68,1.5
69,1.380281690140845
70,1.4444444444444444
71,1.4657534246575343
72,1.4594594594594594
73,1.4
74,1.4078947368421053
75,1.3896103896103895
76,1.5512820512820513
77,1.4936708860759493
78,1.4125
79,1.4320987654320987
80,1.524390243902439
81,1.4939759036144578
82,1.4761904761904763
83,1.5058823529411764
84,1.5116279069767442
85,1.4827586206896552
86,1.4772727272727273
87,1.449438202247191
88,1.4777777777777779
89,1.4615384615384615
90,1.4891304347826086
91,1.4838709677419355
92,1.4787234042553192
93,1.4421052631578948
94,1.3854166666666667
95,1.4845360824742269
96,1.4591836734693877
97,1.4343434343434343
98,1.43
99,1.4554455445544554
100,1.4901960784313726
101,1.4563106796116505
102,1.4038461538461537
103,1.5142857142857142
104,1.4622641509433962
105,1.4579439252336448
106,1.5277777777777777
107,1.4954128440366972
108,1.4181818181818182
109,1.4594594594594594
110,1.4464285714285714
111,1.5132743362831858
112,1.5350877192982457
