,0
0,2.0
1,2.0
2,2.0
3,1.8
4,2.0
5,2.0
6,2.0
7,2.0
8,1.8
9,1.8181818181818181
10,1.8333333333333333
11,1.8461538461538463
12,1.8571428571428572
13,1.8
14,1.8125
15,1.8235294117647058
16,1.8333333333333333
17,1.8421052631578947
18,1.85
19,1.8571428571428572
20,1.8181818181818181
21,1.826086956521739
22,1.8333333333333333
23,1.84
24,1.8461538461538463
25,1.8518518518518519
26,1.8571428571428572
27,1.8620689655172413
28,1.8666666666666667
29,1.8709677419354838
30,1.875
31,1.878787878787879
32,1.8823529411764706
33,1.8571428571428572
34,1.8611111111111112
35,1.864864864864865
36,1.868421052631579
37,1.8717948717948718
38,1.875
39,1.8780487804878048
40,1.880952380952381
41,1.8837209302325582
42,1.8863636363636365
43,1.8666666666666667
44,1.8695652173913044
45,1.872340425531915
46,1.875
47,1.8775510204081634
48,1.88
49,1.8823529411764706
50,1.8653846153846154
51,1.8679245283018868
52,1.8703703703703705
53,1.8727272727272728
54,1.875
55,1.8596491228070176
56,1.8620689655172413
57,1.8644067796610169
58,1.8666666666666667
59,1.8688524590163935
60,1.8709677419354838
61,1.8571428571428572
62,1.84375
63,1.8307692307692307
64,1.8333333333333333
65,1.835820895522388
66,1.8235294117647058
67,1.826086956521739
68,1.8
69,1.8028169014084507
70,1.8055555555555556
71,1.7945205479452055
72,1.7837837837837838
73,1.7866666666666666
74,1.7894736842105263
75,1.7922077922077921
76,1.794871794871795
77,1.7974683544303798
78,1.775
79,1.7530864197530864
80,1.7560975609756098
81,1.7349397590361446
82,1.7261904761904763
83,1.7176470588235293
84,1.7209302325581395
85,1.7126436781609196
86,1.6931818181818181
87,1.696629213483146
88,1.6777777777777778
89,1.6813186813186813
90,1.673913043478261
91,1.6774193548387097
92,1.6702127659574468
93,1.6736842105263159
94,1.6770833333333333
95,1.6804123711340206
96,1.683673469387755
97,1.6868686868686869
98,1.69
99,1.683168316831683
100,1.6764705882352942
101,1.6796116504854368
102,1.6634615384615385
103,1.6666666666666667
104,1.669811320754717
105,1.6635514018691588
106,1.6666666666666667
107,1.6697247706422018
108,1.6545454545454545
109,1.6576576576576576
110,1.6607142857142858
111,1.6460176991150441
112,1.6491228070175439
113,1.6521739130434783
114,1.646551724137931
115,1.6324786324786325
116,1.6355932203389831
117,1.638655462184874
118,1.6333333333333333
119,1.628099173553719
120,1.6311475409836065
121,1.6341463414634145
122,1.6370967741935485
123,1.64
124,1.6349206349206349
125,1.6377952755905512
126,1.640625
127,1.6434108527131783
128,1.6384615384615384
129,1.633587786259542
130,1.628787878787879
131,1.6240601503759398
132,1.6194029850746268
133,1.6222222222222222
134,1.6176470588235294
135,1.6204379562043796
136,1.6159420289855073
137,1.6115107913669064
138,1.6142857142857143
139,1.6170212765957446
140,1.619718309859155
141,1.6223776223776223
142,1.6180555555555556
143,1.6206896551724137
144,1.6232876712328768
145,1.6122448979591837
146,1.6081081081081081
147,1.610738255033557
148,1.6133333333333333
149,1.6158940397350994
150,1.618421052631579
151,1.6209150326797386
152,1.6233766233766234
153,1.6193548387096774
154,1.6153846153846154
155,1.6178343949044587
156,1.620253164556962
157,1.6163522012578617
158,1.6125
159,1.6149068322981366
160,1.617283950617284
161,1.6134969325153374
162,1.603658536585366
163,1.593939393939394
164,1.5903614457831325
165,1.592814371257485
166,1.5952380952380953
167,1.5857988165680474
168,1.588235294117647
169,1.590643274853801
170,1.5930232558139534
171,1.5895953757225434
172,1.5919540229885059
173,1.5942857142857143
174,1.5909090909090908
175,1.5932203389830508
176,1.595505617977528
177,1.5977653631284916
178,1.6
179,1.6022099447513811
180,1.5934065934065933
181,1.5956284153005464
182,1.5869565217391304
183,1.5891891891891892
184,1.5913978494623655
185,1.588235294117647
186,1.5904255319148937
187,1.5873015873015872
188,1.5842105263157895
189,1.5759162303664922
190,1.578125
191,1.5751295336787565
192,1.5721649484536082
193,1.5743589743589743
194,1.5765306122448979
195,1.5685279187817258
196,1.5656565656565657
197,1.5678391959798994
198,1.57
199,1.5671641791044777
200,1.5594059405940595
201,1.5517241379310345
202,1.5490196078431373
203,1.551219512195122
204,1.5485436893203883
205,1.5507246376811594
206,1.5528846153846154
207,1.5502392344497609
208,1.542857142857143
209,1.5450236966824644
210,1.5471698113207548
211,1.5446009389671362
212,1.5467289719626167
213,1.5488372093023255
214,1.5462962962962963
215,1.5483870967741935
216,1.5412844036697249
217,1.538812785388128
218,1.540909090909091
219,1.5384615384615385
220,1.5360360360360361
221,1.5336322869955157
222,1.5357142857142858
223,1.5333333333333334
224,1.5265486725663717
225,1.52863436123348
226,1.5219298245614035
227,1.51528384279476
228,1.5130434782608695
229,1.5108225108225108
230,1.5086206896551724
231,1.5107296137339057
232,1.5085470085470085
233,1.5106382978723405
234,1.5042372881355932
235,1.4978902953586497
236,1.5
237,1.502092050209205
238,1.5
239,1.4979253112033195
240,1.4958677685950412
241,1.4979423868312758
242,1.5
243,1.5020408163265306
244,1.4959349593495934
245,1.4898785425101215
246,1.4838709677419355
247,1.4819277108433735
248,1.484
249,1.4860557768924303
250,1.4841269841269842
251,1.4782608695652173
252,1.4803149606299213
253,1.4823529411764707
254,1.48046875
255,1.4785992217898833
256,1.4767441860465116
257,1.4787644787644787
258,1.476923076923077
259,1.475095785440613
260,1.4694656488549618
261,1.4714828897338403
262,1.4734848484848484
263,1.4754716981132074
264,1.4774436090225564
265,1.4756554307116105
266,1.4776119402985075
267,1.479553903345725
268,1.4777777777777779
269,1.4723247232472325
270,1.474264705882353
271,1.4725274725274726
272,1.4744525547445255
273,1.4763636363636363
274,1.4782608695652173
275,1.476534296028881
276,1.474820143884892
277,1.4695340501792116
278,1.4714285714285715
279,1.4697508896797153
280,1.4716312056737588
281,1.4734982332155477
282,1.4753521126760563
283,1.4771929824561403
284,1.4755244755244756
285,1.4773519163763067
286,1.4722222222222223
287,1.4740484429065743
288,1.4689655172413794
289,1.4639175257731958
290,1.4623287671232876
291,1.4607508532423208
292,1.4591836734693877
293,1.4542372881355932
294,1.4560810810810811
295,1.4511784511784511
296,1.4496644295302012
297,1.451505016722408
298,1.4466666666666668
299,1.441860465116279
300,1.4370860927152318
301,1.438943894389439
302,1.4342105263157894
303,1.4360655737704917
304,1.434640522875817
305,1.4299674267100977
306,1.4285714285714286
307,1.4304207119741101
308,1.4322580645161291
309,1.4340836012861737
310,1.435897435897436
311,1.4313099041533546
312,1.4331210191082802
313,1.4285714285714286
314,1.4272151898734178
315,1.4290220820189274
316,1.430817610062893
317,1.4294670846394983
318,1.43125
319,1.4330218068535825
320,1.434782608695652
321,1.436532507739938
322,1.4382716049382716
323,1.4338461538461538
324,1.4325153374233128
325,1.4342507645259939
326,1.4359756097560976
327,1.4346504559270516
328,1.4333333333333333
329,1.4290030211480362
330,1.430722891566265
331,1.4324324324324325
332,1.4311377245508983
333,1.4328358208955223
334,1.431547619047619
335,1.4332344213649852
336,1.4289940828402368
337,1.4277286135693215
338,1.423529411764706
339,1.4252199413489737
340,1.4210526315789473
341,1.4198250728862973
342,1.4186046511627908
343,1.4144927536231884
344,1.4132947976878614
345,1.414985590778098
346,1.4080459770114941
347,1.4068767908309456
348,1.4057142857142857
349,1.4017094017094016
350,1.4005681818181819
351,1.3966005665722379
352,1.3983050847457628
353,1.3971830985915492
354,1.3932584269662922
355,1.3949579831932772
356,1.3910614525139664
357,1.3899721448467968
358,1.3916666666666666
359,1.3878116343490305
360,1.3867403314917126
361,1.3856749311294765
362,1.3818681318681318
363,1.3808219178082193
364,1.3825136612021858
365,1.3814713896457766
366,1.377717391304348
367,1.3739837398373984
368,1.3756756756756756
369,1.371967654986523
370,1.3709677419354838
371,1.3672922252010724
372,1.3663101604278074
373,1.368
374,1.3643617021276595
375,1.3607427055702919
376,1.3624338624338623
377,1.3614775725593669
378,1.3605263157894736
379,1.3595800524934383
380,1.361256544502618
381,1.3629242819843341
382,1.3645833333333333
383,1.3662337662337662
384,1.3626943005181347
385,1.3591731266149871
386,1.3608247422680413
387,1.3624678663239074
388,1.3666666666666667
389,1.3657289002557544
390,1.3673469387755102
391,1.366412213740458
392,1.368020304568528
393,1.3746835443037975
394,1.3762626262626263
395,1.3778337531486147
396,1.3768844221105527
397,1.380952380952381
398,1.3825
399,1.3840399002493766
400,1.390547263681592
401,1.3895781637717122
402,1.400990099009901
403,1.3925925925925926
404,1.3940886699507389
405,1.4004914004914004
406,1.3995098039215685
407,1.3985330073349633
408,1.4048780487804877
409,1.4038929440389294
410,1.4053398058252426
411,1.4067796610169492
412,1.4082125603864735
413,1.4096385542168675
414,1.4158653846153846
415,1.4124700239808154
416,1.4138755980861244
417,1.4248210023866348
418,1.4285714285714286
419,1.4299287410926367
420,1.4312796208530805
421,1.4326241134751774
422,1.4386792452830188
423,1.4352941176470588
424,1.4413145539906103
425,1.440281030444965
426,1.4462616822429906
427,1.442890442890443
428,1.4441860465116279
429,1.445475638051044
430,1.4467592592592593
431,1.4480369515011546
432,1.4493087557603688
433,1.450574712643678
434,1.451834862385321
435,1.4553775743707094
436,1.45662100456621
437,1.457858769931663
438,1.459090909090909
439,1.4603174603174602
440,1.4615384615384615
441,1.4627539503386005
442,1.4684684684684686
443,1.4674157303370787
444,1.468609865470852
445,1.4697986577181208
446,1.4732142857142858
447,1.4743875278396437
448,1.4733333333333334
449,1.476718403547672
450,1.4778761061946903
451,1.479028697571744
452,1.4801762114537445
453,1.4813186813186814
454,1.4846491228070176
455,1.4835886214442013
456,1.4868995633187774
457,1.4880174291938997
458,1.4869565217391305
459,1.4880694143167028
460,1.5
461,1.490280777537797
462,1.4956896551724137
463,1.4946236559139785
464,1.4957081545064377
465,1.4989293361884368
466,1.4978632478632479
467,1.5053304904051172
468,1.5
469,1.5031847133757963
470,1.5021186440677967
471,1.507399577167019
472,1.5084388185654007
473,1.5094736842105263
474,1.5084033613445378
475,1.5136268343815513
476,1.5146443514644352
477,1.5135699373695197
478,1.5145833333333334
479,1.5155925155925156
480,1.516597510373444
481,1.5196687370600415
482,1.524793388429752
483,1.5237113402061855
484,1.5246913580246915
485,1.5318275154004106
486,1.5307377049180328
487,1.5296523517382412
488,1.5346938775510204
489,1.5315682281059062
490,1.532520325203252
491,1.5354969574036512
492,1.5384615384615385
493,1.5353535353535352
494,1.5362903225806452
495,1.5412474849094568
496,1.5401606425702812
497,1.5410821643286574
498,1.544
499,1.5469061876247505
500,1.545816733067729
501,1.5467196819085487
502,1.5515873015873016
503,1.5524752475247525
504,1.5494071146245059
505,1.5502958579881656
506,1.5531496062992125
507,1.5520628683693516
508,1.5549019607843138
509,1.5557729941291585
510,1.556640625
511,1.5614035087719298
512,1.5583657587548638
513,1.5611650485436894
514,1.560077519379845
515,1.562862669245648
516,1.5656370656370657
517,1.5645472061657033
518,1.5653846153846154
519,1.566218809980806
520,1.5670498084291187
521,1.5659655831739963
522,1.5687022900763359
523,1.5695238095238095
524,1.5741444866920151
525,1.573055028462998
526,1.571969696969697
527,1.5746691871455576
528,1.5735849056603775
529,1.5725047080979284
530,1.5733082706766917
531,1.574108818011257
532,1.5749063670411985
533,1.5794392523364487
534,1.578358208955224
535,1.5791433891992552
536,1.58364312267658
537,1.5807050092764379
538,1.5833333333333333
539,1.5859519408502774
540,1.5830258302583027
541,1.5966850828729282
542,1.5974264705882353
543,1.5963302752293578
544,1.598901098901099
545,1.6014625228519195
546,1.6003649635036497
547,1.6010928961748634
548,1.6036363636363635
549,1.6061705989110708
550,1.608695652173913
551,1.6057866184448464
552,1.6028880866425992
553,1.6054054054054054
554,1.606115107913669
555,1.6122082585278277
556,1.6093189964157706
557,1.6082289803220036
558,1.6089285714285715
559,1.6114081996434937
560,1.6085409252669038
561,1.61101243339254
562,1.6134751773049645
563,1.6141592920353982
564,1.6201413427561837
565,1.6155202821869488
566,1.6161971830985915
567,1.6186291739894552
568,1.6175438596491227
569,1.618213660245184
570,1.6206293706293706
571,1.6230366492146597
572,1.6219512195121952
573,1.6208695652173912
574,1.625
575,1.6221837088388216
576,1.6262975778546713
577,1.625215889464594
578,1.6275862068965516
579,1.6265060240963856
580,1.6288659793814433
581,1.6329331046312179
582,1.63013698630137
583,1.6324786324786325
584,1.6313993174061434
585,1.6337308347529813
586,1.6343537414965987
587,1.6366723259762308
588,1.6372881355932203
589,1.637901861252115
590,1.6368243243243243
591,1.639123102866779
592,1.6414141414141414
593,1.6403361344537815
594,1.6442953020134228
595,1.644891122278057
596,1.6421404682274248
597,1.642737896494157
598,1.6466666666666667
599,1.6455906821963395
600,1.649501661129568
601,1.6467661691542288
602,1.6473509933774835
603,1.6479338842975206
604,1.6534653465346534
605,1.6507413509060955
606,1.6513157894736843
607,1.6551724137931034
608,1.6557377049180328
609,1.65139116202946
610,1.6552287581699345
611,1.6557911908646004
612,1.6547231270358307
613,1.6569105691056911
614,1.6590909090909092
615,1.6580226904376012
616,1.6585760517799353
617,1.6575121163166397
618,1.6580645161290322
619,1.6602254428341385
620,1.6607717041800643
621,1.6597110754414126
622,1.6602564102564104
623,1.6608
624,1.6629392971246006
625,1.6634768740031898
626,1.6656050955414012
627,1.6677265500794913
628,1.6666666666666667
629,1.6671949286846275
630,1.6708860759493671
631,1.6666666666666667
632,1.6687697160883281
633,1.667716535433071
634,1.671383647798742
635,1.6703296703296704
636,1.6755485893416928
637,1.6791862284820032
638,1.6765625
639,1.6801872074882995
640,1.6806853582554517
641,1.682737169517885
642,1.6801242236024845
643,1.6852713178294574
644,1.6826625386996905
645,1.6846986089644513
646,1.6851851851851851
647,1.6841294298921416
648,1.6861538461538461
649,1.6866359447004609
650,1.6855828220858895
651,1.6860643185298623
652,1.688073394495413
653,1.6870229007633588
654,1.6890243902439024
655,1.6894977168949772
656,1.6945288753799392
657,1.6889226100151744
658,1.6893939393939394
659,1.6913767019667172
660,1.690332326283988
661,1.693815987933635
662,1.6927710843373494
663,1.693233082706767
664,1.6951951951951951
665,1.6941529235382309
666,1.6946107784431137
667,1.6980568011958146
668,1.6970149253731344
669,1.6974664679582712
670,1.6979166666666667
671,1.6968796433878157
672,1.698813056379822
673,1.7022222222222223
674,1.698224852071006
675,1.7001477104874445
676,1.7005899705014749
677,1.6995581737849779
678,1.701470588235294
679,1.7004405286343611
680,1.7038123167155426
681,1.7027818448023426
682,1.7046783625730995
683,1.705109489051095
684,1.7055393586005831
685,1.7059679767103348
686,1.7034883720930232
687,1.7097242380261248
688,1.7057971014492754
689,1.70767004341534
690,1.7066473988439306
691,1.70995670995671
692,1.707492795389049
693,1.7136690647482014
694,1.7097701149425288
695,1.7116212338593975
696,1.7120343839541547
697,1.7110157367668097
698,1.7128571428571429
699,1.7132667617689015
700,1.7165242165242165
701,1.7155049786628733
702,1.7144886363636365
703,1.7205673758865248
704,1.7167138810198301
705,1.7185289957567185
706,1.7161016949152543
707,1.7165021156558533
708,1.7183098591549295
709,1.7172995780590716
710,1.7191011235955056
711,1.7180925666199158
712,1.719887955182073
713,1.7188811188811188
714,1.7206703910614525
715,1.7210599721059971
716,1.7200557103064067
717,1.7190542420027817
718,1.7222222222222223
719,1.7226074895977808
720,1.721606648199446
721,1.723374827109267
722,1.7223756906077348
723,1.7227586206896552
724,1.7245179063360883
725,1.7276478679504814
726,1.728021978021978
727,1.7242798353909465
728,1.7246575342465753
729,1.7264021887824896
730,1.7281420765027322
731,1.7271487039563438
732,1.7275204359673024
733,1.7292517006802721
734,1.7309782608695652
735,1.7299864314789688
736,1.7317073170731707
737,1.72936400541272
738,1.731081081081081
739,1.7327935222672064
740,1.7318059299191375
741,1.7308209959623149
742,1.7311827956989247
743,1.7328859060402684
744,1.7345844504021448
745,1.7336010709504686
746,1.7339572192513368
747,1.7343124165554071
748,1.7346666666666666
749,1.7350199733688416
750,1.7367021276595744
751,1.7370517928286853
752,1.7360742705570291
753,1.737748344370861
754,1.7380952380952381
755,1.7397622192866578
756,1.7387862796833773
757,1.7391304347826086
758,1.7394736842105263
759,1.7398160315374507
760,1.7401574803149606
761,1.7391874180865006
762,1.7408376963350785
763,1.742483660130719
764,1.7402088772845954
765,1.740547588005215
766,1.7434895833333333
767,1.7438231469440832
768,1.7441558441558442
769,1.7444876783398184
770,1.7474093264248705
771,1.7451487710219922
772,1.7467700258397933
773,1.7470967741935484
774,1.7474226804123711
775,1.749034749034749
776,1.7467866323907455
777,1.748395378690629
778,1.75
779,1.7503201024327786
780,1.7493606138107416
781,1.7496807151979565
782,1.7525510204081634
783,1.7515923566878981
784,1.751908396946565
785,1.7522236340533672
786,1.7538071065989849
787,1.752851711026616
788,1.7544303797468355
789,1.7534766118836915
790,1.755050505050505
791,1.7578814627994956
792,1.7544080604534005
793,1.7547169811320755
794,1.756281407035176
795,1.7565872020075282
796,1.755639097744361
